pipeline_type,opt_sequence,circuit_type,num_qubits,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,GHZ Circuit,20,success,,42.0,23.0,19.0,19.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Grover Circuit,5,success,,1008.0,777.0,390.0,356.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Grover Circuit,10,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Grover Circuit,15,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Grover Circuit,20,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,QFT Circuit,5,success,,82.0,53.0,32.0,28.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,QFT Circuit,10,success,,364.0,184.0,189.0,114.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,QFT Circuit,15,success,,897.0,378.0,522.0,252.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,QFT Circuit,20,success,,1609.0,562.0,959.0,392.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Amplitude Estimation Circuit,5,success,,301.0,245.0,54.0,54.0
