circuit_type,num_qubits,ordering,baseline_depth,baseline_gates,baseline_2q,status,error,step0_sdk,step0_converged_iters,step0_depth,step0_gates,step0_2q,step1_sdk,step1_depth,step1_gates,step1_2q,step2_sdk,step2_depth,step2_gates,step2_2q,step1_residual_pct,step2_residual_pct
Amplitude Estimation Circuit,5,BQSKit -> Qiskit -> TKet,245,301,54,success,,BQSKit,2,119,124,54,Qiskit,13.0,21.0,12.0,TKet,1.0,5.0,0.0,89.08,92.31
Amplitude Estimation Circuit,5,BQSKit -> TKet -> Qiskit,245,301,54,success,,BQSKit,3,119,124,54,TKet,1.0,5.0,0.0,Qiskit,1.0,5.0,0.0,99.16,0.0
Quantum Phase Estimation Circuit,5,Qiskit -> TKet -> BQSKit,68,91,32,success,,Qiskit,2,53,78,28,TKet,33.0,50.0,19.0,BQSKit,25.0,30.0,19.0,37.74,24.24
Quantum Phase Estimation Circuit,5,Qiskit -> BQSKit -> TKet,68,91,32,success,,Qiskit,2,53,78,28,BQSKit,33.0,37.0,28.0,TKet,1.0,5.0,0.0,37.74,96.97
Quantum Phase Estimation Circuit,5,TKet -> Qiskit -> BQSKit,68,91,32,success,,TKet,2,32,50,19,Qiskit,38.0,62.0,19.0,BQSKit,24.0,33.0,19.0,-18.75,36.84
Quantum Phase Estimation Circuit,5,TKet -> BQSKit -> Qiskit,68,91,32,success,,TKet,2,32,50,19,BQSKit,20.0,25.0,19.0,Qiskit,3.0,3.0,3.0,37.5,85.0
Quantum Phase Estimation Circuit,5,BQSKit -> Qiskit -> TKet,68,91,32,success,,BQSKit,2,37,41,32,Qiskit,13.0,21.0,12.0,TKet,1.0,5.0,0.0,64.86,92.31
Quantum Phase Estimation Circuit,5,BQSKit -> TKet -> Qiskit,68,91,32,success,,BQSKit,2,37,41,32,TKet,1.0,5.0,0.0,Qiskit,1.0,5.0,0.0,97.3,0.0
W State Circuit,5,Qiskit -> TKet -> BQSKit,46,78,8,success,,Qiskit,2,21,38,8,TKet,11.0,22.0,8.0,BQSKit,6.0,10.0,8.0,47.62,45.45
W State Circuit,5,Qiskit -> BQSKit -> TKet,46,78,8,success,,Qiskit,2,21,38,8,BQSKit,15.0,25.0,8.0,TKet,5.0,5.0,4.0,28.57,66.67
W State Circuit,5,TKet -> Qiskit -> BQSKit,46,78,8,success,,TKet,2,11,22,8,Qiskit,21.0,38.0,8.0,BQSKit,15.0,25.0,8.0,-90.91,28.57
W State Circuit,5,TKet -> BQSKit -> Qiskit,46,78,8,success,,TKet,2,11,22,8,BQSKit,6.0,9.0,8.0,Qiskit,6.0,8.0,8.0,45.45,0.0
W State Circuit,5,BQSKit -> Qiskit -> TKet,46,78,8,success,,BQSKit,2,20,33,8,Qiskit,20.0,33.0,8.0,TKet,5.0,9.0,4.0,0.0,75.0
W State Circuit,5,BQSKit -> TKet -> Qiskit,46,78,8,success,,BQSKit,2,20,33,8,TKet,5.0,9.0,4.0,Qiskit,5.0,9.0,4.0,75.0,0.0
Half Adder Circuit,5,Qiskit -> TKet -> BQSKit,58,72,34,success,,Qiskit,2,58,72,34,TKet,29.0,47.0,19.0,BQSKit,,,,50.0,
Half Adder Circuit,5,Qiskit -> BQSKit -> TKet,58,72,34,success,,Qiskit,2,58,72,34,BQSKit,,,,TKet,29.0,47.0,19.0,,
Half Adder Circuit,5,TKet -> Qiskit -> BQSKit,58,72,34,success,,TKet,2,29,47,19,Qiskit,35.0,57.0,19.0,BQSKit,,,,-20.69,
Half Adder Circuit,5,TKet -> BQSKit -> Qiskit,58,72,34,success,,TKet,2,29,47,19,BQSKit,,,,Qiskit,35.0,57.0,19.0,,
Half Adder Circuit,5,BQSKit -> Qiskit -> TKet,58,72,34,success,,BQSKit,10,58,72,34,Qiskit,58.0,72.0,34.0,TKet,29.0,47.0,19.0,0.0,50.0
Half Adder Circuit,5,BQSKit -> TKet -> Qiskit,58,72,34,success,,BQSKit,10,58,72,34,TKet,29.0,47.0,19.0,Qiskit,35.0,57.0,19.0,50.0,-20.69
BV Circuit,5,Qiskit -> TKet -> BQSKit,16,31,2,success,,Qiskit,2,8,22,2,TKet,5.0,12.0,2.0,BQSKit,,,,37.5,
BV Circuit,5,Qiskit -> BQSKit -> TKet,16,31,2,success,,Qiskit,2,8,22,2,BQSKit,,,,TKet,5.0,12.0,2.0,,
BV Circuit,5,TKet -> Qiskit -> BQSKit,16,31,2,success,,TKet,2,5,12,2,Qiskit,8.0,20.0,2.0,BQSKit,,,,-60.0,
BV Circuit,5,TKet -> BQSKit -> Qiskit,16,31,2,success,,TKet,2,5,12,2,BQSKit,,,,Qiskit,8.0,20.0,2.0,,
BV Circuit,5,BQSKit -> Qiskit -> TKet,16,31,2,success,,BQSKit,10,16,31,2,Qiskit,8.0,22.0,2.0,TKet,5.0,12.0,2.0,50.0,37.5
BV Circuit,5,BQSKit -> TKet -> Qiskit,16,31,2,success,,BQSKit,10,16,31,2,TKet,5.0,12.0,2.0,Qiskit,8.0,20.0,2.0,68.75,-60.0
Graph State Circuit,5,Qiskit -> TKet -> BQSKit,21,61,11,success,,Qiskit,2,18,37,11,TKet,6.0,15.0,5.0,BQSKit,4.0,6.0,5.0,66.67,33.33
Graph State Circuit,5,Qiskit -> BQSKit -> TKet,21,61,11,success,,Qiskit,2,18,37,11,BQSKit,11.0,18.0,11.0,TKet,4.0,10.0,5.0,38.89,63.64
Graph State Circuit,5,TKet -> Qiskit -> BQSKit,21,61,11,success,,TKet,2,6,15,5,Qiskit,12.0,25.0,5.0,BQSKit,5.0,10.0,5.0,-100.0,58.33
Graph State Circuit,5,TKet -> BQSKit -> Qiskit,21,61,11,success,,TKet,2,6,15,5,BQSKit,4.0,8.0,5.0,Qiskit,3.0,5.0,5.0,33.33,25.0
Graph State Circuit,5,BQSKit -> Qiskit -> TKet,21,61,11,success,,BQSKit,3,12,26,11,Qiskit,11.0,20.0,11.0,TKet,4.0,10.0,5.0,8.33,63.64
Graph State Circuit,5,BQSKit -> TKet -> Qiskit,21,61,11,success,,BQSKit,2,12,26,11,TKet,4.0,10.0,5.0,Qiskit,5.0,12.0,5.0,66.67,-25.0
DJ Circuit,10,Qiskit -> TKet -> BQSKit,39,103,24,success,,Qiskit,2,33,84,24,TKet,16.0,37.0,9.0,BQSKit,,,,51.52,
DJ Circuit,10,Qiskit -> BQSKit -> TKet,39,103,24,success,,Qiskit,2,33,84,24,BQSKit,,,,TKet,16.0,37.0,9.0,,
DJ Circuit,10,TKet -> Qiskit -> BQSKit,39,103,24,success,,TKet,2,16,37,9,Qiskit,24.0,65.0,9.0,BQSKit,,,,-50.0,
DJ Circuit,10,TKet -> BQSKit -> Qiskit,39,103,24,success,,TKet,2,16,37,9,BQSKit,,,,Qiskit,24.0,65.0,9.0,,
DJ Circuit,10,BQSKit -> Qiskit -> TKet,39,103,24,success,,BQSKit,10,39,103,24,Qiskit,33.0,84.0,24.0,TKet,16.0,37.0,9.0,15.38,51.52
DJ Circuit,10,BQSKit -> TKet -> Qiskit,39,103,24,success,,BQSKit,10,39,103,24,TKet,16.0,37.0,9.0,Qiskit,24.0,65.0,9.0,58.97,-50.0
GHZ Circuit,10,Qiskit -> TKet -> BQSKit,13,22,9,success,,Qiskit,2,13,22,9,TKet,11.0,20.0,9.0,BQSKit,9.0,9.0,9.0,15.38,18.18
GHZ Circuit,10,Qiskit -> BQSKit -> TKet,13,22,9,success,,Qiskit,2,13,22,9,BQSKit,10.0,10.0,9.0,TKet,10.0,10.0,9.0,23.08,0.0
